"Date","forecast_UK_covid","forecast_UK_covid_low_80","forecast_UK_covid_high_80","forecast_UK_covid_low_95","forecast_UK_covid_high_95"
2021-06-01,3383.53310537946,362.015537026531,6405.05067373239,-1237.47924546588,8004.5454562248
2021-06-02,3488.9458382227,-749.177558599839,7727.06923504524,-2992.70456363126,9970.59624007665
2021-06-03,3607.61427796034,-1540.92731089547,8756.15586681615,-4266.40059461002,11481.6291505307
2021-06-04,3737.25425158464,-2159.89327536665,9634.40177853593,-5281.65460475331,12756.1631079226
2021-06-05,3875.87856845686,-2664.49437601889,10416.2515129326,-6126.75867320981,13878.5158101235
2021-06-06,4021.7596343827,-3085.64358199508,11129.1628507605,-6848.0755733679,14891.5948421333
2021-06-07,4173.39676734256,-3442.32099732326,11789.1145320084,-7473.83845633242,15820.6319910175
2021-06-08,4329.48762271198,-3747.31173161333,12406.2869770373,-8022.91104031555,16681.8862857395
2021-06-09,4488.90321046,-4009.78884145682,12987.5952623768,-8508.72465352319,17486.5310744432
2021-06-10,4650.6660520024,-4236.63936042977,13537.9714644346,-8941.29465897589,18242.6267629807
2021-06-11,4813.93108143758,-4433.21233478845,14061.0744976636,-9328.35436610725,18956.2165289824
2021-06-12,4977.96894570858,-4603.77205789718,14559.7099493143,-9676.0393526445,19631.9772440617
2021-06-13,5142.15140176492,-4751.78858035646,15036.0913838863,-9989.32403123348,20273.6268347633
2021-06-14,5305.93854682603,-4880.13259301014,15492.0096866622,-10272.3129373878,20884.1900310399
2021-06-15,5468.86765114733,-4991.21116701416,15928.9464693088,-10528.442414433,21466.1777167276
2021-06-16,5630.54339169325,-5087.06532333843,16348.1521067249,-10760.6246632013,22021.7114465878
2021-06-17,5790.62931056903,-5169.44206065605,16750.7006817941,-10971.3533775494,22552.6119986875
2021-06-18,5948.84034421076,-5239.84875311979,17137.5294415413,-11162.7829837705,23060.463672192
2021-06-19,6104.93628875593,-5299.59504631902,17509.4676238309,-11336.7892557067,23546.6618332186
2021-06-20,6258.71608397653,-5349.825676214,17867.2578441671,-11495.0164810755,24012.4486490286
2021-06-21,6410.01281292155,-5391.54655929067,18211.5721851338,-11638.9147158881,24458.9403417312
2021-06-22,6558.68932743044,-5425.64580206873,18543.0244569296,-11769.7696000064,24887.1482548672
2021-06-23,6704.63442092161,-5452.91081134664,18862.1796531899,-11888.7264990008,25297.995340844
2021-06-24,6847.75947982159,-5474.04236802376,19169.5613276669,-11996.8102555782,25692.3292152214
2021-06-25,6987.99555358066,-5489.66630562481,19465.6574127861,-12094.9414993027,26070.9326064641
2021-06-26,7125.29079080492,-5500.3432772522,19750.924858862,-12183.9502266317,26434.5318082415
2021-06-27,7259.60819564057,-5506.57698112737,20025.7933724085,-12264.5871930962,26783.8035843773
2021-06-28,7390.92366428084,-5508.82113161792,20290.6684601796,-12337.5335351573,27119.380863719
