"Date","forecast_US_covid","forecast_US_covid_low_80","forecast_US_covid_high_80","forecast_US_covid_low_95","forecast_US_covid_high_95"
2021-06-01,6447.29008300402,-15507.905503801,28402.485669809,-27130.2839925145,40024.8641585225
2021-06-02,7111.28103912419,-23230.7008665257,37453.2629447741,-39292.7758505946,53515.3379288429
2021-06-03,7768.91708763677,-28560.2038880294,44098.0380633029,-47791.67884675,63329.5130220235
2021-06-04,8421.13934422437,-32605.1576035371,49447.4362919858,-54323.167321647,71165.4460100957
2021-06-05,9068.87321228007,-35808.4798735755,53946.2262981356,-59565.1155670838,77702.8619916439
2021-06-06,9713.01805134964,-38404.0027776138,57830.0388803131,-63875.6149804048,83301.6510831041
2021-06-07,10354.438827131,-40534.4633026942,61243.3409569561,-67473.4208305144,88182.2984847763
2021-06-08,10993.9594817583,-42295.2403633136,64283.1593268302,-70504.8387479594,92492.757711476
2021-06-09,11632.3577934803,-43754.135344616,67018.8509315766,-73073.9737340478,96338.6893210084
2021-06-10,12270.3615219522,-44961.5590335146,69502.282077419,-75258.3076870034,99799.0307309078
2021-06-11,12908.645659362,-45956.2869086375,71773.5782273616,-77117.4999032081,102934.791221932
2021-06-12,13547.8306289844,-46768.9455999441,73864.6068579129,-78698.7182034256,105794.379461394
2021-06-13,14188.4812917361,-47424.2434142558,75801.205997728,-80040.0497013249,108417.012284797
2021-06-14,14831.1066381028,-47942.4614397877,77604.6747159933,-81172.7810879871,110834.994364193
2021-06-15,15476.16005779,-48340.4870183421,79292.8071339221,-82122.979333975,113075.299449555
2021-06-16,16124.0400926746,-48632.552016289,80880.6322016382,-82912.6211759525,115160.701361302
2021-06-17,16775.0915903961,-48830.7739141689,82380.957094961,-83560.4212524938,117110.604433286
2021-06-18,17429.6071863417,-48945.5612051378,83804.7755778212,-84082.4528920193,118941.667264703
2021-06-19,18087.8290509864,-48985.9229826963,85161.5810846692,-84492.6225113531,120668.280613326
2021-06-20,18749.9508477399,-48959.7093414684,86459.6110369483,-84803.0383134093,122302.940008889
2021-06-21,19416.1198536523,-48873.800821015,87706.0405283195,-85024.301139136,123856.540846441
2021-06-22,20086.4392017372,-48734.2596578821,88907.1380613565,-85165.7369745762,125338.615378051
2021-06-23,20760.9702092964,-48546.4519643603,90068.392382953,-85235.5850396951,126757.525458288
2021-06-24,21439.7347616181,-48315.1474646179,91194.6169878541,-85241.1515834874,128120.621106724
2021-06-25,22122.7177248257,-48044.6016877022,92290.0371373536,-85188.9368646101,129434.372314261
2021-06-26,22809.8693654932,-47738.6242905046,93358.363021491,-85084.7409232068,130704.479654193
2021-06-27,23501.1077580802,-47400.6363006668,94402.8518168271,-84933.7524007984,131935.967916959
2021-06-28,24196.3211642245,-47033.7184240379,95426.3607524868,-84740.6236796837,133133.266008133
2021-06-29,24895.3703705489,-46640.6520832276,96431.3928243253,-84509.534883551,134300.275624649
2021-06-30,25598.0909739508,-46223.9544952206,97420.1364431221,-84244.2487338188,135440.43068172
2021-07-01,26304.2956053559,-45785.9088240055,98394.5000347172,-83948.1578412868,136556.749051999
2021-07-02,27013.7760847005,-45328.5902356171,99356.142405018,-83624.3256946628,137651.877864064
2021-07-03,27726.3055013886,-44853.888521638,100306.499524415,-83275.5223615501,138728.133364327
2021-07-04,28441.6402158675,-44363.5278311002,101246.808262835,-82904.2557253574,139787.536157092
2021-07-05,29159.5217790842,-43859.0839515258,102178.127509694,-82512.7989304681,140831.842488637
2021-07-06,29879.6787676046,-43341.9995011081,103101.357036317,-82103.2145881301,141862.572123339
2021-07-07,30601.8285330315,-42813.597331159,104017.254397222,-81677.3761998161,142881.033265879
2021-07-08,31325.6788650924,-42275.0923873985,104926.450117583,-81236.9871778861,143888.344908071
2021-07-09,32050.9295684266,-41727.6022377503,105829.461374604,-80783.5977811614,144885.456918015
2021-07-10,32777.2739536142,-41172.156441081,106726.70434831,-80318.620232479,145873.168139708
2021-07-11,33504.4002434514,-40609.7049041318,107618.505391035,-79843.3422439517,146852.142730855
2021-07-12,34231.9928958666,-40041.1253515506,108505.111143284,-79358.9391417067,147822.92493344
2021-07-13,34959.7338451844,-39467.2300155126,109386.697705881,-78866.4847538623,148785.952444231
2021-07-14,35687.3036636878,-38888.7716361539,110263.37896353,-78366.9612022935,149741.568529669
2021-07-15,36414.3826456691,-38306.4488512996,111135.214142638,-77861.2677193711,150690.033010709
2021-07-16,37140.6518163062,-37720.9110433542,112002.214675967,-77350.2285947087,151631.532227321
2021-07-17,37865.7938678379,-37132.7627022951,112864.350437971,-76834.6003433653,152566.188079041
2021-07-18,38589.4940256063,-36542.5673561821,113721.555407395,-76315.078175498,153494.066226711
2021-07-19,39311.4408466075,-35950.8511142321,114573.732807447,-75792.3018377522,154415.183530967
2021-07-20,40031.3269532294,-35358.105862093,115420.759768552,-75266.8608884299,155329.514794889
2021-07-21,40748.8497048733,-34764.7921443408,116262.491554087,-74739.2994614236,156236.99887117
2021-07-22,41463.7118101796,-34171.3417652399,117098.765385599,-74210.1205678282,157137.544188187
2021-07-23,42175.6218825516,-33578.1601354084,117929.403900512,-73679.7899789326,158031.033744036
2021-07-24,42884.2949416395,-32985.6283890866,118754.218272366,-73148.7397297719,158917.329613051
2021-07-25,43589.4528634273,-32394.1052941218,119573.011020976,-72617.3712784592,159796.277005314
2021-07-26,44290.8247815169,-31803.9289745459,120385.57853758,-72086.058353067,160667.707916101
2021-07-27,44988.1474421424,-31215.4184636634,121191.713347948,-71555.1495148038,161531.444399089
2021-07-28,45681.1655153892,-30628.8751038301,121991.206134609,-71024.9704635406,162387.301494319
2021-07-29,46369.6318650511,-30044.5838075494,122783.847537652,-70495.8261093443,163235.089839447
2021-07-30,47053.3077794354,-29462.8141931969,123569.429752068,-69968.0024316003,164074.617990471
2021-07-31,47731.9631654337,-28883.8216073878,124347.747938255,-69441.7681453228,164905.69447619
2021-08-01,48405.3767080184,-28307.8480449913,125118.601461028,-68917.3761926279,165728.129608665
2021-08-02,49073.3359973167,-27735.122976742,125881.794971375,-68395.0650757247,166541.737070358
2021-08-03,49735.6376252967,-27165.8640935509,126637.139344144,-67875.0600464239,167346.335297017
2021-08-04,50392.0872540342,-26600.2779758019,127384.45248387,-67357.5741658761,168141.748673945
2021-08-05,51042.4996574719,-26038.5606951646,128123.560010109,-66842.8092470711,168927.808562015
2021-08-06,51686.6987384549,-25480.8983558399,128854.29583275,-66330.9566916198,169704.35416853
2021-08-07,52324.5175228193,-24927.4675814755,129576.502627114,-65822.1982312985,170471.233276937
2021-08-08,52955.7981321688,-24378.4359534999,130290.032217837,-65316.7065840102,171228.302848348
2021-08-09,53580.3917369527,-23833.9624060546,130994.74587996,-64814.6460329442,171975.42950685
2021-08-10,54198.1584913509,-23294.1975822817,131690.514564984,-64316.1729369991,172712.489919701
2021-08-11,54808.9674514167,-22759.2841562642,132377.219059098,-63821.4361798173,173439.371082651
2021-08-12,55412.6964778607,-22229.3571245329,133054.750080254,-63330.5775641418,174155.970519863
2021-08-13,56009.2321247812,-21704.5440706908,133723.008320253,-62843.7321576227,174862.196407185
2021-08-14,56598.4695155979,-21184.9654063609,134381.904437557,-62361.028595638,175557.967626834
2021-08-15,57180.3122073555,-20670.7345913799,135031.359006091,-61882.589346217,176243.213760928
2021-08-16,57754.6720445279,-20161.9583358529,135671.302424909,-61408.5309416659,176917.875030722
2021-08-17,58321.469003379,-19658.7367864408,136301.674793199,-60938.9641810783,177581.902187836
2021-08-18,58880.6310279023,-19161.1636989866,136922.425754791,-60473.9943074969,178235.256363301
2021-08-19,59432.0938582505,-18669.3265994279,137533.514315929,-60013.7211631835,178877.908879684
2021-08-20,59975.8008525831,-18183.3069346672,138134.908639833,-59558.2393260471,179509.841031213
2021-08-21,60511.7028031733,-17703.180214925,138726.585821272,-59107.6382300073,180131.043836354
2021-08-22,61039.7577475427,-17229.016148955,139308.53164404,-58662.002271809,180741.517766894
2021-08-23,61559.9307753983,-16760.8787732924,139880.740324089,-58221.4109064882,181341.272457285
2021-08-24,62072.1938320564,-16298.826576608,140443.214240721,-57785.9387334958,181930.326397609
2021-08-25,62576.5255190149,-15842.9126200962,140995.963658126,-57355.6555752428,182508.706613273
2021-08-26,63072.9108923055,-15393.184654689,141539.0064393,-56930.6265496185,183076.448334229
2021-08-27,63561.3412591657,-14949.6852358384,142072.36775417,-56510.9121379003,183633.594656232
2021-08-28,64041.8139736051,-14512.4518364386,142596.079783649,-56096.5682492313,184180.196196442
2021-08-29,64514.3322313505,-14081.5169584215,143110.181421122,-55687.6462827427,184716.310745444
2021-08-30,64978.9048646291,-13656.9082434752,143614.717972733,-55284.193188247,185242.002917505
2021-08-31,65435.546137241,-13238.6485832346,144109.740857717,-54886.2515262779,185757.34380076
2021-09-01,65884.2755403155,-12826.7562292524,144595.307309883,-54493.8595281575,186262.410608788
2021-09-02,66325.1175891036,-12421.2449030186,145071.480081226,-54107.0511566837,186757.286334891
2021-09-03,66758.1016211902,-12022.1239061775,145538.327148558,-53725.8561678731,187242.059410253
2021-09-04,67183.2615964057,-11629.3982311256,145995.921423937,-53350.3001741855,187716.823366997
2021-09-05,67600.6358987404,-11243.0686720821,146444.340469563,-52980.4047095317,188181.676507013
2021-09-06,68010.2671405258,-10863.1319367021,146883.666217754,-52616.1872963101,188636.721577362
2021-09-07,68412.2019691347,-10489.5807582564,147313.984696526,-52257.661514645,189082.065452914
2021-09-08,68806.4908764026,-10122.4040084056,147735.385761211,-51904.8370739732,189517.818826778
2021-09-09,69193.1880109836,-9761.58681053596,148147.962832503,-51557.7198870432,189944.09590901
2021-09-10,69572.3509938148,-9407.11065362291,148551.812641252,-51216.3121463677,190361.014133997
2021-09-11,69944.0407368489,-9058.95350656845,148947.034980266,-50880.6124031299,190768.693876828
2021-09-12,70308.3212652123,-8717.08993292321,149333.732463348,-50550.6156484919,191167.258178917
2021-09-13,70665.2595428884,-8381.49120593553,149712.010291712,-50226.3133972701,191556.832483047
2021-09-14,71014.9253020663,-8052.12542380035,150081.976027933,-49907.6937738548,191937.544377988
2021-09-15,71357.3908762353,-7728.95762501922,150443.73937749,-49594.7416002846,192309.523352755
2021-09-16,71692.7310371101,-7411.94990375417,150797.411977974,-49287.4384863379,192672.900560558
2021-09-17,72021.0228354527,-7101.06152506333,151143.107195969,-48985.7629215066,193027.808592412
2021-09-18,72342.3454458641,-6796.24903987802,151480.939931606,-48689.6903686765,193374.381260405
2021-09-19,72656.7800155804,-6497.46639960904,151811.02643077,-48399.1933593597,193712.75339052
2021-09-20,72964.4095173002,-6204.66507026546,152133.484104866,-48114.2415903159,194043.060624916
2021-09-21,73265.3186060886,-5917.79414593859,152448.431358116,-47834.8020213606,194365.439233538
2021-09-22,73559.5934803634,-5636.80046153704,152755.987422264,-47560.8389741892,194680.025934916
2021-09-23,73847.3217469643,-5361.62870465584,153056.272198584,-47292.3142320377,194986.957725966
2021-09-24,74128.5922903108,-5092.22152645102,153349.406107073,-47029.1871399875,195286.371720609
2021-09-25,74403.495145647,-4828.51965139635,153635.50994269,-46771.4147057234,195578.404997017
2021-09-26,74672.1213763561,-4570.46198580862,153914.704738521,-46518.951700563,195863.194453275
2021-09-27,74934.5629553039,-4317.98572504992,154187.111635658,-46271.7507605955,196140.876671203
2021-09-28,75190.9126502097,-4071.02645927538,154452.851759695,-46029.762487728,196411.587788147
2021-09-29,75441.263912994,-3829.51827764277,154712.046103631,-45792.9355504844,196675.463376472
2021-09-30,75685.7107730699,-3593.39387088177,154964.815417022,-45561.2167843837,196932.638330524
2021-10-01,75924.3477345425,-3362.58463212688,155211.280101212,-45334.5512917307,197183.246760816
2021-10-02,76157.2696772611,-3137.02075593492,155451.560110457,-45112.8825406712,197427.421895193
2021-10-03,76384.5717616584,-2916.63133542491,155685.774858742,-44896.1524633788,197665.295986696
2021-10-04,76606.3493373611,-2701.34445742574,155914.043132148,-44684.3015531927,197897.000227915
2021-10-05,76822.6978554716,-2491.08729560791,156136.483006551,-44477.2689606147,198122.664671558
2021-10-06,77033.712784497,-2285.78620150071,156353.211770495,-44274.9925880035,198342.418156998
2021-10-07,77239.4895298292,-2085.36679337081,156564.345853029,-44077.4091828785,198556.388242537
2021-10-08,77440.1233567341,-1889.75404289023,156770.000756358,-43884.4544296995,198764.701143168
2021-10-09,77635.7093167679,-1698.8723595629,156970.290993099,-43696.0630400333,198967.481673569
2021-10-10,77826.3421775682,-1512.64567285449,157165.330027991,-43512.1688409941,199164.85319613
2021-10-11,78012.116355928,-1330.99751201345,157355.230223869,-43332.704861891,199356.937573747
2021-10-12,78193.1258540989,-1153.8510835378,157540.102791736,-43157.6034189838,199543.855127182
2021-10-13,78369.4641992456,-981.129346269183,157720.05774476,-42986.7961982786,199725.72459677
2021-10-14,78541.2243859621,-812.755084112781,157895.203856037,-42820.2143363136,199902.663108238
2021-10-15,78708.4988218013,-648.650976345481,158065.648619948,-42657.7884988509,200074.786142454
2021-10-16,78871.3792757205,-488.739665525121,158231.498216966,-42499.4489574437,200242.207508885
2021-10-17,79029.9568293926,-332.943822974281,158392.85748176,-42345.1256638104,200405.039322596
2021-10-18,79184.3218312693,-181.18621187727,158549.829874416,-42194.7483220164,200563.391984555
2021-10-19,79334.5638533636,-33.3897479533916,158702.51745468,-42048.246458387,200717.374165114
2021-10-20,79480.7716506497,110.522442258633,158851.020859041,-41905.5494891541,200867.092790453
2021-10-21,79623.0331230039,250.626965488438,158995.439280519,-41766.5867858186,201012.653031826
2021-10-22,79761.4352796307,387.000108198714,159135.870451063,-41631.2877381945,201154.158297456
2021-10-23,79896.064205871,519.717785376386,159272.410626366,-41499.5818151551,201291.710226897
2021-10-24,80027.0050323598,648.855491667884,159405.154573052,-41371.3986230383,201425.408687758
2021-10-25,80154.3419064164,774.488254789103,159534.195558044,-41246.6679617544,201555.351774587
2021-10-26,80278.1579656108,896.690591197039,159659.625340025,-41125.319878588,201681.63580981
2021-10-27,80398.5353134576,1015.53646401304,159781.534162902,-41007.2847196818,201804.355346597
2021-10-28,80515.554997132,1131.09924313029,159900.010751134,-40892.4931792501,201923.603173514
2021-10-29,80629.2969871493,1243.45166747969,160015.142306819,-40780.8763465316,202039.47032083
2021-10-30,80739.840158955,1352.66580943145,160127.014508479,-40672.3657504865,202152.046068397
2021-10-31,80847.2622763261,1458.81304126125,160235.711511391,-40566.8934022955,202261.417954948
2021-11-01,80951.6399765488,1561.96400367063,160341.315949427,-40464.3918356575,202367.671788755
2021-11-02,81053.0487572911,1662.18857630117,160443.908938281,-40364.7941449342,202470.891659516
